subset,id,noise,snr_db,speaker,excluded_clean_control,si_sdr_db_cpu,si_sdr_db_fpga,si_sdr_db_delta,stoi_cpu,stoi_fpga,stoi_delta,pesq_wb_cpu,pesq_wb_fpga,pesq_wb_delta,relative_l2,rmse,max_abs_error,frames,cpu_neural_s,fpga_execution_s,fpga_host_s,reasons,samples,sample_rate,cpu_wav_sha256,fpga_wav_sha256,source_results_sha256
noisy_test,p232_005,bus,2.5,p232,False,17.28070973410681,16.78259835988566,-0.4981113742211498,0.9134609287536396,0.910757805988373,-0.00270312276526663,2.8340444564819336,2.6471476554870605,-0.18689680099487305,0.042864254936885345,0.0034194119246010986,0.07106146588921547,631,0.42083257993363077,8.48516508327082,9.087247588002356,{},99946,16000,61a91115d729901c7172eb6b98beb127b254f71ae8d237ad3fe3639e70836a6d,c16b6f302b5bcce5577bda17122e18a1ffda933199ba3037ec12303d1fb8fcf9,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_003,bus,7.5,p257,False,17.65443694923626,17.189960962487312,-0.46447598674894763,0.9706233457612634,0.967899729871251,-0.002723615890012465,2.639275550842285,2.675696849822998,0.03642129898071289,0.048167945844945104,0.003129578849805362,0.04186926782131195,559,0.3655567110690754,7.51663695123781,8.065853144995344,{},88343,16000,a6f6d8612b466c2993eb2deb6e1101b2136beb163e8f685eb45789e0ee5bff2d,54b5436c5d58ee8297c5ebecb96c6f01326f263f649018f626608b3e94c2c6d6,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_148,bus,12.5,p232,False,25.241739310348716,24.748581874671245,-0.49315743567747106,0.9990711784891819,0.9988181548852233,-0.0002530236039586242,3.5798542499542236,3.456409454345703,-0.12344479560852051,0.017685172086515176,0.0011274147668594706,0.010271966457366943,394,0.26648592499259394,5.2981657254313586,5.675824637000915,{},61969,16000,7c4b3458124b993cb2f721c688ec0bb585bb33a9f48612196bc398fa567595da,5c4ee66fa8dc45e8a4c13faeae74c42ba9e0218862af569655b748c5e674cde0,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_324,bus,17.5,p257,False,21.016401060142798,20.796532271613554,-0.21986878852924363,0.9754237392232452,0.9825870309032921,0.007163291680046924,3.2931292057037354,3.222386598587036,-0.07074260711669922,0.020706647941705,0.0010278650798086172,0.010685056447982788,359,0.2322814159851987,4.827554136534134,5.161539341999742,{},56329,16000,48a790de28504d35e67a8e37e27953b6af767ad5ec8d9dfdffc87c17cda6dde4,53570f2e4a788256aae3b1815c59f74b0756ff834f81d29eb707e5492c7ff379,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_009,cafe,2.5,p257,False,13.606442939023983,13.114937330450093,-0.49150560857389003,0.8792266395655224,0.8661596961916325,-0.013066943373889917,1.7011749744415283,1.5127514600753784,-0.1884235143661499,0.06277904927063228,0.004458213356972561,0.05637824535369873,352,0.22936779711017152,4.733341191297825,5.065197484000237,{},55242,16000,8b8ff8339f38053a664d60a285ccd0a1d1aafc185ef6df7ea2d173e4945274b2,f468f81d6ff6978d52d1d4750ae39fbc6e64f221f601a6cbf3c3ccfc38e2aef7,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_009,cafe,7.5,p232,False,19.666661915814622,19.555085299260753,-0.11157661655386875,0.9674517367778217,0.9682112555641259,0.000759518786304203,2.905282974243164,2.8084824085235596,-0.09680056571960449,0.02320864822315139,0.0020863469902427465,0.014041244983673096,422,0.27245406094152713,5.674612717179296,6.064097248003236,{},66522,16000,432830b3edc539762f786f2c0c21c078f0809b2462f6a7a3a4fbddb3a5c65056,953abb90a4bc1f37ccb9e75b76f92131af179399a104b6939a39dd2ac2dd56b5,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_007,cafe,12.5,p257,False,16.60634733359251,16.225403687375472,-0.38094364621703747,0.9299013583195492,0.9223570999952188,-0.007544258324330477,2.047109365463257,2.0334930419921875,-0.013616323471069336,0.033772675773913664,0.0020060587417522996,0.02824494242668152,346,0.22309107906767167,4.6526936054013515,4.964612970994494,{},54363,16000,d1207e674dc2dc1c7e67196a1d17b47e7e70fda9879f03ef4777887ebbf97354,16fde0cee0eb1eca31776143b1f57a7f3ccdabbbf99e7731a7a239abaa097519,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_006,cafe,17.5,p232,False,22.38596720243312,22.1147705755504,-0.2711966268827233,0.9597041282499631,0.9638812992064691,0.004177170956506049,3.136972188949585,3.128486394882202,-0.008485794067382812,0.018719811139793575,0.0011942389834475092,0.020108966156840324,517,0.33461927701864624,6.952232954238561,7.432215579996409,{},81656,16000,a6e59cf27472a5ee2128b9df8cc732da4855c532b6ee3084549b54775cf770a5,d65033efdae3f30725e250aedb9e47821935eebf815b3b91ec383394c5d94dc6,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_014,living,2.5,p232,False,17.028827091081094,16.923137439246453,-0.1056896518346413,0.9327403246839643,0.9328965135208425,0.00015618883687817942,2.2417643070220947,2.1154372692108154,-0.1263270378112793,0.03332152637421201,0.0020986575658688816,0.015364989638328552,468,0.302038139954675,6.293290922730684,6.753506713997922,{},73870,16000,4669ead7d88786add4cde6bedbb2870a3071ae827f18568f0a5d841e5faeabdb,5a5cfeb869edfe736c02853a3ecd7c4e6107075e48330780a85bec6762e7af8f,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_234,living,7.5,p257,False,16.999154554491223,16.89381822525513,-0.10533632923609204,0.9427475662975254,0.9413969788439567,-0.0013505874535687523,2.677773952484131,2.6584808826446533,-0.01929306983947754,0.02667188291127819,0.0015455109102875354,0.01525229960680008,353,0.2285603440104751,4.746655591897976,5.073598223003501,{},55420,16000,11a91c97715edd54a74cac618763f0d8524bbc1aff357c41a11e3f3a452ccf5a,d36f320aedb7466572e6b00294ace085487bd92a07c07c3e24133aa61bdaa090,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_012,living,12.5,p232,False,19.565508601360406,19.379270193883663,-0.18623840747674336,0.9636428651597062,0.963229200568492,-0.000413664591214169,2.885317802429199,2.7791385650634766,-0.10617923736572266,0.023654861250468128,0.0013703387203943536,0.015023455023765564,440,0.28336862200376345,5.916783531882971,6.331117406996782,{},69371,16000,f7bee66525c2e078735cd7642117306396806ee17e9a6e9ffd552f19665828c1,18a0c004abc86ec9e4b1baa6fe91ccbed95b3e4fa77f617f79cae2a94fc5f809,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_232,living,17.5,p257,False,17.84241398618113,17.746439715894073,-0.09597427028705496,0.964428680945211,0.9639874146697327,-0.00044126627547824704,2.9168426990509033,2.7964043617248535,-0.1204383373260498,0.018246156235090946,0.0009556966530171409,0.008414819836616516,381,0.2459839409129927,5.123339954988748,5.49174327399669,{},59923,16000,2751690f16a9401cb35cc529ceb2d3e1d938d82873412b7c1653fd78b30fbb2f,8cd2e38b5ba78bbe0dd24331f5d772b73ea41f998b0ba0f9818ae9f489758fff,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_199,office,2.5,p257,False,20.53982299903994,20.17775602652882,-0.36206697251112274,0.5812128883178606,0.5570037344880637,-0.024209153829796826,2.482022762298584,2.559776782989502,0.07775402069091797,0.034145195681813435,0.0018322296800707778,0.021482855081558228,429,0.27678815696708625,5.768825710427608,6.173324688003049,{},67604,16000,c249f2900d361609d40b63f6e8585701488e39079c8f8ba2da2a3569037a37ba,65478870d17ecaae2819eb10c103db6dee533bd6832359559771a2fee23651a1,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_372,office,7.5,p232,False,21.408254025752306,21.094416678831955,-0.3138373469203515,0.9045130749826317,0.9129057811133695,0.008392706130737837,2.8657734394073486,2.9237771034240723,0.05800366401672363,0.020033432130503633,0.0017931382530206711,0.02663983777165413,344,0.22202336409827694,4.625704234058515,4.941643133999605,{},53940,16000,4f06ac255becfecd19122c2655be5365226b6dfcf68f5c46993b08d1f7c0edf1,ec8897b9920e04402e742c8c6ff1e6470f06fd767768f1fc15d947c4a3f813c5,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_015,office,12.5,p257,False,20.488118795180917,20.22140632423982,-0.26671247094109773,0.9746821930242169,0.9755815977377846,0.000899404713567753,2.9148926734924316,2.82185435295105,-0.09303832054138184,0.02646129342429519,0.001375472959911666,0.023493792861700058,476,0.3070924750281847,6.400879867966993,6.838704967005469,{},75085,16000,12c9b312abb3840ce839e16b25b80d7d21337c9fbae15068c1058bee25507a99,0c3cf6c1fc1830bd4fb02482e96056250370ff17a41b4812c35d9da0dd4f1b67,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_015,office,17.5,p232,False,25.344681359414572,24.882441963385368,-0.4622393960292044,0.9727201393714463,0.98093156782445,0.00821142845300371,3.7182092666625977,3.6952741146087646,-0.022935152053833008,0.021825571774279347,0.0017552285714441493,0.020468026399612427,538,0.347080691040901,7.234460183045763,7.73277937000239,{},85119,16000,1ba4b0aea405e6591d2ddfb0bc0df16f3036a3a96efd5bf97d9c4338d8223dce,224d9cf30d46ed962dd0341effd1c1975e835803bf3c9267bcc4bb1abb9893e2,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_409,psquare,2.5,p232,False,17.0000215878228,16.530132139712947,-0.46988944810985345,0.9148244255448548,0.9169741369156083,0.002149711370753482,2.3055474758148193,2.2551355361938477,-0.05041193962097168,0.056527292574437726,0.004169349519751505,0.07287855260074139,416,0.2703363800246734,5.5940101665416355,5.990893277004943,{},65440,16000,1a4388c2c6d9eb36c8d184618a1deb987f8b6a2ee503ddc0e015ca9886715172,8569025d07b190a31b6571d54dba233bf0805d5c13bdd5055135abe65d99cc2a,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_101,psquare,7.5,p257,False,18.181436128709496,17.149852624464906,-1.0315835042445904,0.9553856010474063,0.9466656008129246,-0.008720000234481717,2.9660656452178955,2.922917127609253,-0.04314851760864258,0.054282378254672976,0.003048188919386298,0.1454264372587204,437,0.28200783200736623,5.87630302775694,6.260576153006696,{},68876,16000,6f52bf3591c9fe09998fa470cda8f9c53865d66aa983d9487eabc34bf20554fc,d82616af4e7c55277862170414c5486133a3317d26e121c922db7926bf9292de,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p232_188,psquare,12.5,p232,False,21.27624308818778,20.711416654861978,-0.564826433325802,0.9290855533158494,0.9343016170767966,0.005216063760947187,3.1167821884155273,3.057717800140381,-0.059064388275146484,0.029570013489919153,0.0025933572447294777,0.0267990380525589,390,0.25269092803500826,5.2442348507126795,5.605569240004115,{},61280,16000,674ee9f1193019b0e7975fde0cfacce0decc30b2d786fdb4003551a9d7b4d59f,0b8f1af851b1e428cf6df72f93c531782029d7f54ea6abff32a57324a3ee9d1d,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
noisy_test,p257_018,psquare,17.5,p257,False,20.986643363864566,11.614407952078407,-9.372235411786159,0.9658881935487144,0.9621279346552667,-0.0037602588934476655,2.930487871170044,2.640676259994507,-0.2898116111755371,0.24774248112402483,0.010934628400835929,0.2699652127921581,448,0.28838993498357013,6.024429227306828,6.417317088002164,{},70698,16000,86933ba1fe055fb5a360b687a01f94b015731392302aa6743990dada66f77280,862a5a5c5359d5a49ec6b924485d5220ca6caa7af9e20c4eb1de7deaa7fbdc00,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
clean_control,p232_005_clean,clean_control,,p232,True,21.939262931748715,21.45518037874513,-0.48408255300358505,0.9721106401291948,0.9540526788261672,-0.018057961303027614,3.9437692165374756,3.5614187717437744,-0.38235044479370117,0.02667854959364649,0.0021114288958098237,0.04670192673802376,631,0.4143000029362156,8.48507069167292,9.046355903999938,{},99946,16000,5f3b00d9a523f493bde53e8220489106265c6a755b8139eb359e43fa715f3717,6b21ea9183e778e4de572f7c18e82af6cbaa1a73b77013f33f41cf9bd8f293e2,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
clean_control,p257_003_clean,clean_control,,p257,True,19.26223099324481,19.135213272676978,-0.12701772056783156,0.9814406770010811,0.9816624233319986,0.00022174633091753826,3.2287702560424805,3.3128788471221924,0.08410859107971191,0.029321302885126556,0.001898688385528147,0.015815645456314087,559,0.36022076502558775,7.516774601650414,8.041295517003164,{},88343,16000,455bd8d5a8cd7b77e627a7984a21f329440047af48de0b28cc1366a7c2e89c03,f53a9537914658f0079d833377b7872b2d75025554494ec6f698b591ca5a155b,50597c106c9f51333b945f8fa30cd23efc044f117f86c104cadaf91e109ae152
additional_sample,p232_007,cafe,12.5,p232,False,18.179075233325275,15.315524914741527,-2.863550318583748,0.9563825776486888,0.9557594993666716,-0.000623078282017242,2.6366026401519775,2.5953176021575928,-0.041285037994384766,0.11219474174609724,0.00815759391588711,0.1055675558745861,402,0.2604533800476929,5.405605305326333,5.7789564299964695,{},63295,16000,a7c8df1c6495a35c2a9bf1fcee13689d03183a7357cefa420fc9486d00553636,187f8f08198e3dd65189ba293806e2a286d2c549557c2ffbb8722f3137975def,bf65b64deeb10b0d501e21563780917dea4f1bcf8e945bd2b38c3bdf2530842e
